Timestamp,CPU_Usage,RAM_Usage,Disk_Usage,GPU_Usage
2025-12-26,16:59:56,16,48,"9.8 Kbps","1.1 Kbps","0 KB/s","59.8 KB/s"
2025-12-26,16:59:58,13,48,"10.0 Kbps","1.6 Kbps","0 KB/s","16.0 KB/s"
2025-12-26,17:00:01,14,48,"11.1 Kbps","12.6 Kbps","4.5 KB/s","164.4 KB/s"
2025-12-26,17:00:03,16,48,"21.3 Kbps","12.2 Kbps","0 KB/s","3.4 MB/s"
2025-12-26,17:00:05,15,48,"21.0 Kbps","1.4 Kbps","4.5 KB/s","243.4 KB/s"
2025-12-26,17:00:07,14,48,"9.7 Kbps","1.8 Kbps","0 KB/s","346.9 KB/s"
2025-12-26,17:00:10,15,48,"9.7 Kbps","2.5 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,17:00:12,13,48,"10.1 Kbps","3.6 Kbps","0 KB/s","130.1 KB/s"
2025-12-26,17:00:15,12,48,"9.8 Kbps","15.9 Kbps","0 KB/s","3.2 MB/s"
2025-12-26,17:00:16,15,48,"10.2 Kbps","15.2 Kbps","4.5 KB/s","161.5 KB/s"
2025-12-26,17:00:19,15,48,"252.1 Kbps","41.1 Kbps","0 KB/s","358.8 KB/s"
2025-12-26,17:00:21,12,48,"273.5 Kbps","56.2 Kbps","4.5 KB/s","52.2 KB/s"
2025-12-26,17:00:24,11,48,"27.5 Kbps","15.6 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:00:25,12,48,"9.3 Kbps","0.8 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:00:29,11,48,"20.2 Kbps","127.9 Kbps","0 KB/s","27.7 KB/s"
2025-12-26,17:00:30,10,48,"20.2 Kbps","128.7 Kbps","0 KB/s","63.1 KB/s"
2025-12-26,17:00:33,11,48,"193.5 Kbps","8.4 Kbps","0 KB/s","0 KB/s"
2025-12-26,17:00:35,12,48,"201.0 Kbps","13.1 Kbps","0 KB/s","3.3 MB/s"
2025-12-26,17:00:38,11,48,"18.7 Kbps","6.4 Kbps","0 KB/s","0 KB/s"
